Genus,MH01-A,MH95HP,MH10-B,MH99-A,MH10-A,ALT01HP,MH49-B,MH24HP,MH24RC,NEG03RC,ALT03HP,ALT03RC,MH53RC,NEG02HP,MH41HP,MH41RC,ALT02HP,ALT02RC,MH63HP,MilliQBA4
Pontibacillus,0,1,0,4,1,0,0,0,2,26,0,0,20,7,0,5,0,3,0,0
Desulfotomaculum,0,1,0,2,3,0,0,2,0,5,7,1,28,0,1,11,0,1,3,4
Candidatus Scalindua,0,0,3,57,1,0,2,0,0,0,1,0,3,0,0,1,0,0,0,0
Sedimentibacter,1,11,0,4,1,4,0,1,3,16,4,0,2,3,1,1,0,1,11,4
Rubrivivax,16,0,0,2,0,0,5,0,1,0,0,0,0,22,0,0,0,0,0,20
Mesorhizobium,46,0,7,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
Sulfurospirillum,0,3,1,9,0,0,0,0,0,49,1,1,0,0,0,0,0,0,0,0
Coraliomargarita,50,0,1,0,0,0,7,0,0,0,1,0,4,0,0,0,0,0,0,0
Ramlibacter,40,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
Rhodobaca,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dethiosulfovibrio,0,0,2,4,1,1,2,1,0,4,2,0,9,8,2,16,1,1,0,5
Bosea,39,0,11,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0
Desemzia,0,0,0,0,0,2,0,0,2,0,0,0,52,0,0,2,0,0,0,0
Brevibacillus,0,0,16,3,0,0,0,0,1,9,0,0,21,8,0,0,0,0,0,0
Frankia,0,0,4,45,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0
Thermoanaerobacter,36,0,0,1,0,0,1,1,0,1,1,0,0,0,1,14,0,0,0,1
Methylocella,54,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Marinitoga,0,10,0,0,0,7,0,1,0,6,2,0,2,10,2,0,0,0,14,2
Halanaerobium,0,1,0,4,1,2,3,0,2,4,0,1,6,0,2,9,0,2,7,11
Haloanella,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Actinocatenispora,0,1,2,1,3,2,4,2,0,1,1,6,4,1,0,9,0,7,2,9
Knoellia,0,4,1,0,2,0,1,7,0,0,0,0,20,0,1,0,0,3,10,5
Rathayibacter,0,0,0,4,1,0,7,0,1,0,0,11,2,1,1,10,0,14,0,0
Olsenella,0,0,2,15,0,0,0,0,0,1,0,0,0,0,0,31,0,1,0,2
Candidatus Liberibacter,12,0,26,4,0,1,4,0,0,0,1,0,0,4,0,0,0,0,0,0
Planifilum,1,0,0,36,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0
Virgibacillus,0,0,4,3,0,3,7,0,4,2,3,3,0,13,0,0,3,4,0,2
Actinomycetospora,0,0,33,2,0,0,7,4,0,0,0,0,0,0,0,5,0,0,0,0
Planococcus,0,3,1,5,0,0,0,0,14,0,3,2,13,0,0,3,0,4,2,0
Blastomonas,26,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitasatospora,0,6,1,4,4,1,2,4,0,1,2,3,4,3,0,2,7,1,2,2
Exiguobacterium,0,2,0,2,1,1,11,0,10,0,1,1,7,1,4,1,0,0,0,7
Rhodothermus,0,0,0,12,0,0,2,1,0,17,0,0,5,9,0,3,0,0,0,0
Methylobacillus,14,2,0,10,0,1,2,1,0,1,8,0,0,2,4,1,1,0,1,1
Streptacidiphilus,0,6,0,0,0,0,3,1,0,13,0,0,1,0,1,11,0,1,9,2
Anaerostipes,0,0,11,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Janibacter,0,1,0,0,2,0,2,2,0,0,0,3,1,0,0,33,0,3,0,1
Mobiluncus,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,22,0,9,0,0
Aminiphilus,2,2,0,2,2,1,1,2,0,1,3,0,2,6,2,0,16,0,2,3
Polaribacter,5,1,0,1,0,0,0,0,1,8,1,0,17,3,0,3,0,0,1,5
Allobaculum,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebaldella,0,4,0,1,0,4,0,0,0,5,6,0,0,0,1,1,0,1,20,2
Marinomonas,30,0,2,2,0,0,3,0,0,5,1,0,0,1,0,1,0,0,0,0
Sneathia,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,38,3
Thiomonas,4,1,1,13,5,0,6,0,1,0,2,2,0,0,1,5,0,1,1,1
Tepidimonas,18,0,0,6,0,0,0,0,0,7,0,0,0,11,0,0,0,2,0,0
Demequina,0,3,1,5,1,0,0,1,0,0,0,2,4,0,1,9,0,3,1,13
Anaerovibrio,0,0,0,0,0,1,0,0,0,39,0,3,0,0,1,0,0,0,0,0
Parapedobacter,0,1,0,5,0,0,0,0,0,11,0,0,0,25,0,0,0,0,0,1
Psychroflexus,0,0,0,0,0,0,0,0,1,26,0,0,2,13,0,0,0,0,0,0
Prauserella,0,4,0,0,0,1,1,0,0,0,3,1,2,0,1,27,0,0,0,1
Oenococcus,0,0,14,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
Thermovenabulum,1,4,2,4,0,0,0,1,0,3,10,1,0,4,0,0,7,0,2,2
Luteimonas,12,0,2,3,0,0,0,0,0,0,0,1,19,0,2,2,0,0,0,0
Marichromatium,0,0,0,3,0,0,0,0,0,12,0,0,0,26,0,0,0,0,0,0
Thalassospira,8,0,2,5,0,0,4,0,2,0,0,0,1,1,0,16,0,1,0,0
Beijerinckia,14,0,9,0,0,0,10,0,0,0,0,0,0,0,0,2,0,5,0,0
Leptothrix,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,19,0,0,0,0
Acidisoma,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,36,0,0,0,0
Gardnerella,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Natronincola,0,3,2,2,0,0,0,1,0,1,2,2,5,4,1,15,0,0,0,0
Tannerella,0,6,0,0,0,3,0,6,0,0,7,0,0,0,15,0,0,0,0,1
Gordonia,0,1,0,4,0,0,1,0,0,3,0,9,6,0,0,12,0,2,0,0
Rickettsiella,6,0,2,1,0,0,3,0,0,0,2,0,1,2,0,21,0,0,0,0
Luteibacter,27,0,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0
Pseudonocardia,0,0,4,0,0,0,15,0,9,0,0,2,1,0,0,5,0,0,0,0
Alkanindiges,13,0,0,17,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
